zip,N_est_2000,N_est_2001,N_est_2002,N_est_2003,N_est_2004,N_est_2005,N_est_2006,N_est_2007,N_est_2008,N_est_2009,N_est_2010,N_est_2011,N_est_2012,longitude,latitude
10464,147,152,155,154,162,155,154,152,149,149,145,139,141,-73.7699149719,40.8537499999
10464,147,152,155,154,162,155,154,152,149,149,145,139,141,-73.7866487858,40.8468911711
10465,422,438,438,455,484,483,467,467,478,473,496,490,504,-73.8225381671,40.8275751762
10466,562,576,606,599,608,632,599,598,587,599,612,603,599,-73.8466578067,40.8909421502
10467,922,930,978,977,1006,1038,1017,993,1024,1020,1050,1047,1058,-73.870510096,40.8782871916
10468,656,667,718,732,756,746,746,757,733,762,777,791,822,-73.8989019405,40.8697435793
10469,568,566,602,612,618,609,620,616,628,611,627,629,652,-73.8465999329,40.8682344016
10470,267,271,278,277,291,291,286,285,279,289,287,283,291,-73.8643889699,40.9011001288
10471,386,368,362,367,375,386,397,397,404,403,398,416,424,-73.8975896163,40.8983376493
10472,434,432,467,451,460,473,461,457,480,492,506,517,543,-73.8699760561,40.8296691163
10473,317,306,329,348,345,345,345,323,328,325,334,342,359,-73.8585465472,40.8180132776
10474,547,551,594,601,601,618,611,689,709,677,663,653,644,-73.8838768634,40.8105378781
10475,281,291,317,316,327,343,332,347,348,352,354,360,365,-73.8268202658,40.8747085665
11001,651,661,641,643,670,685,690,681,682,681,690,714,714,-73.7068810275,40.7335477555
11004,189,204,214,228,226,225,226,238,227,233,229,222,241,-73.7116059115,40.7453657984
11005,33,29,38,32,34,32,28,39,34,33,34,32,31,-73.7128823308,40.7555060473
11040,1350,1341,1398,1403,1406,1441,1454,1488,1503,1475,1494,1488,1510,-73.7034396997,40.7486975192
11096,266,264,263,264,298,301,311,311,300,291,300,307,323,-73.7681978511,40.6174952757
11096,266,264,263,264,298,301,311,311,300,291,300,307,323,-73.748015091,40.6116747591
11101,2619,2564,2699,2668,2653,2644,2625,2695,2723,2675,2744,2787,2866,-73.9384038556,40.7459158932
11102,603,605,637,641,663,660,670,658,671,681,679,676,691,-73.9264848012,40.7715827244
11103,978,991,1010,1043,1047,1045,1038,1094,1111,1102,1108,1116,1136,-73.9132790081,40.762877517
11104,457,457,483,507,522,518,517,527,530,533,538,537,569,-73.9207604075,40.7446038836
11105,797,784,838,869,871,907,897,885,893,900,903,924,958,-73.9072329428,40.7791112466
11106,878,893,911,933,938,950,954,963,967,980,1028,1036,1066,-73.9316897963,40.7617204649
11109,7,7,11,10,14,11,15,20,26,27,34,34,45,-73.9572052632,40.74505501
11201,2131,2148,2284,2305,2349,2385,2420,2430,2462,2510,2567,2690,2847,-73.9893813847,40.6948576402
11203,670,661,697,681,701,724,728,733,721,742,796,809,846,-73.9342811926,40.6496496843
11204,1656,1686,1569,1649,1733,1778,1806,1858,1826,1817,1902,1960,2024,-73.9848625672,40.6190001779
11205,717,725,742,759,766,787,813,856,895,913,953,1020,1095,-73.9639167914,40.6935255949
11206,791,806,856,874,913,929,944,953,982,1030,1055,1094,1150,-73.9424220042,40.7019749831
11207,708,715,745,733,737,746,762,793,806,845,912,940,978,-73.8944473843,40.67091954
11208,597,607,658,682,713,698,678,685,683,717,745,791,828,-73.8722368393,40.6737817022
11209,1731,1733,1815,1843,1843,1840,1820,1800,1841,1823,1842,1895,1955,-74.0304592665,40.6224748924
11210,792,816,839,826,842,875,893,887,906,919,990,1030,1006,-73.9465583517,40.6275376531
11211,1955,1977,2039,2131,2219,2357,2406,2425,2555,2646,2766,2803,2710,-73.9461090517,40.714055405
11212,520,527,577,581,586,587,570,587,602,647,699,713,721,-73.9130773489,40.6628129352
11213,477,493,546,569,570,556,565,556,592,621,675,674,726,-73.9363272536,40.6711562772
11214,1276,1300,1397,1426,1482,1579,1579,1549,1591,1602,1679,1724,1789,-73.9962505911,40.5987134023
11215,1409,1453,1486,1556,1603,1651,1710,1772,1802,1848,1916,2008,2068,-73.9797892374,40.6655916637
11216,472,463,507,539,534,538,534,541,550,566,604,633,675,-73.9493114648,40.6806393638
11217,783,770,833,845,908,937,947,1010,1033,1060,1117,1163,1243,-73.9795591957,40.6823002721
11218,1161,1180,1228,1247,1295,1332,1331,1377,1397,1457,1474,1523,1605,-73.9764508917,40.6433203354
11219,2079,2153,2172,2238,2286,2343,2351,2391,2396,2487,2581,2647,2696,-73.9966750666,40.632775557
11220,1456,1476,1587,1676,1749,1741,1756,1894,1969,2073,2175,2307,2393,-74.0167419008,40.6411822914
11221,374,374,391,412,427,440,423,460,483,536,566,566,572,-73.9277840629,40.6912992636
11222,1177,1211,1257,1249,1283,1294,1291,1315,1326,1352,1375,1426,1506,-73.9476648004,40.7283653522
11223,1551,1551,1575,1614,1648,1664,1675,1780,1832,1874,1948,1993,2042,-73.9733323586,40.5969956376
11224,493,482,525,527,563,566,577,601,607,659,656,688,685,-73.9879658349,40.5765821881
11225,417,422,479,488,492,491,499,514,520,543,580,597,623,-73.9539595773,40.6631149214
11226,917,884,967,992,1044,1049,1015,1049,1083,1097,1127,1169,1229,-73.9570719387,40.6464764171
11228,665,684,652,674,712,738,719,751,768,777,787,836,847,-74.0134333193,40.6163625463
11229,1554,1615,1654,1678,1698,1713,1731,1791,1830,1890,1950,1948,1975,-73.9443121943,40.601130539
11230,1753,1807,1829,1874,1925,1930,1934,1934,1945,1984,2026,2062,1999,-73.9656884775,40.622073309
11231,726,762,811,807,850,869,876,912,925,949,985,1027,1093,-74.0043935878,40.6778598522
11231,726,762,811,807,850,869,876,912,925,949,985,1027,1093,-74.0177316894,40.6682568306
11232,1006,1024,1104,1124,1095,1107,1120,1159,1140,1178,1174,1186,1263,-73.9999349025,40.6544386757
11233,261,266,289,291,301,295,300,315,324,346,364,394,429,-73.9197776836,40.6780747935
11234,1561,1537,1603,1618,1605,1636,1635,1609,1646,1655,1717,1736,1793,-73.9107589503,40.6068220836
11235,1803,1853,1936,1969,2048,2088,2086,2151,2223,2284,2394,2437,2478,-73.9458824628,40.5841052405
11236,881,879,888,927,944,984,954,924,927,966,985,1007,997,-73.9013154529,40.6400031579
11237,698,719,725,736,762,728,723,758,805,828,862,895,942,-73.9208185272,40.7039753978
11238,537,558,578,610,642,645,676,668,707,753,790,858,938,-73.9638228613,40.6788707217
11239,56,58,72,86,87,83,81,82,76,74,76,78,74,-73.8722135865,40.6481037085
11354,1972,2064,2086,2218,2334,2400,2447,2487,2545,2629,2704,2875,3068,-73.8270812613,40.7686218884
11355,1225,1287,1403,1464,1550,1629,1641,1708,1754,1789,1832,1877,1966,-73.8213358502,40.7512438185
11356,572,586,616,634,646,668,686,703,700,700,702,710,743,-73.8416980161,40.7849876949
11357,835,847,883,878,902,904,923,926,940,929,917,943,917,-73.8112341087,40.7863713683
11358,850,894,904,972,1026,1055,1055,1110,1142,1152,1160,1205,1217,-73.7962856732,40.760415684
11359,4,6,6,6,6,6,6,8,8,12,11,11,10,-73.7767098468,40.7917480709
11360,347,322,349,364,367,375,369,369,375,372,361,361,355,-73.7821915948,40.7806608028
11361,859,873,866,896,943,984,983,989,1001,995,1010,1012,1016,-73.7722840647,40.7642190502
11362,376,373,402,395,398,410,416,425,424,431,442,451,477,-73.734025619,40.7590724622
11363,175,175,178,182,175,180,172,182,172,173,165,162,178,-73.7460449789,40.7723581724
